,video_id,comments
0,SyfKpDydAxU,"['I just know Zoumas cat was brought up and CUT OUT', 'You can tell Antoio is natural at this same as Micah. Where as Iwobi was very quiet and the others just talked over him, such an enjoyable episode and this man has class!!', ""Pk putting his arm around specs! N the look!!😂😂😂\n\nI swear the man ain't normal 😂😂😂😂"", '""So many messages in that film""\n""Name one""\n""...................""', 'Lippy was as quiet as a mouse. Blink twice if you need help.', ""Antonio and Dan's laughs are cousins🤣🤣"", 'Great Banter and as a hammers fan - great guest ❤ \n\nMichail hope you score the winner in Prague - a player who puts in every week and does the unselfish work for the team ❤ mad respect - loved your honesty and openness, especially about Scamaca (Moyes system ain’t for him)\n\nLove from Down Under ❤', 'They defo listen to Touchline Fracas', 'That Rice take is horrible lord Jesus 🤣', ""U can tell who hadn't seen Boys n the hood""]"
1,IBzzIV96P1o,"[""Jordy's impression of Dazza is spot on. That story killed me 1:18:42"", 'Someone needs to send them some of those Japanese KitKats imagine specs reaction to a wasabi flavoured  one 😂😂', 'Specs kills me 😂😂', 'Get Évra or lukaku on this', ""I've wanted to travel to London just to see Kew Gardens for years now xD"", 'No rules is genuinely one of the funniest things you’ll find on YouTube the fact that it’s so random always makes for a good vid looool😂😂😂😂', 'I can’t get enough of No Rules so happy they are being consistent with it genuinely the best show on the internet', 'Viewers of no rules have to be called the undateables', 'No rules > Filthy', 'Good thing it’s Jordy next to Tego, I have a feeling Dazza wouldn’t share 😅']"
2,JeyEJ_f6cUI,"['Yeah Ben Godfrey is from york, was a few years above me. Mad to see him in the prem.', '""I used to work nights with Romanians"" - this needed more lol\'s', 'That South African flag in the background ❤️', '“I put his tackling down to 12” 😂', 'This was a PK and Lippy masterclass performance.', 'PK gets fragile masculinity when footballers come on', 'Iwobi came across as a very cool guy', 'Lippy needed subbing off early on a Tavares one.', 'A filthy 5 a side game would be elite content man🤣', 'Iwobi kinda dead still']"
3,WpyNeI0mgZc,"['10:56😂😂 they won’t ever let him live', '33:35 ""What are you sayin brudda"" absolutely sent me west', 'Tego loves shouting over people, why doesn’t he go on piers Morgan instead', 'Enzo not top 10?😂😂😂😂', 'Julian Alvarez ?????', ""It's clear odegaard it's the player of the season for Arsenal bro, martenili 2nd, saliba 3rd, ramsdel 4th, 5th saka for me"", 'Miles is right though, nobody is paying £110m for Caicedo right now.', '1. Haaland\r\n2. Saka\r\n3. Foden\r\n4. James\r\n5. Saliba\r\n6. Isak\r\n7. Botman\r\n8. Caicedo\r\n9. Martinelli\r\n10. Felix/Nunez\nwhat do you think?', 'why these man dont pull tego up ,he still got andy cole telling him halannd is perfect for city, tego saying at first halannd was bad for city loool ,man need to man up and tell man', 'Lumos the whole episode: 😁']"
4,B4QpKFdXWEI,"['52:14 oh wow oxtail at the rui it’s Jamaica you idiot lool', ""There's gotta be a Chinese jamaican living in LDN that they can get on the show"", 'Bumout is craaaaaazzy 😂', 'Who googled Bob Marley playing football after this 😭', 'If Big Brother was still around Specs has to go in! 😂', '😭😭😭😭😭 this episode was too funny', 'Dazza needs to drop Dazza Talks ASAP', ""It's crazy how many times I've watched this already"", 'What an episode!!!!! Had me crying all the way through. Don’t sleep on part 2', 'I need to know the backstory to the name Podolski 😂😂']"
5,eCMe0urGT-g,"['Specs, Dazza, Lippy & Savage Dan is needed', '“You’re an aesthetics guy” is outrageous to say about football, does Tego not know you watch football not drink it?', 'Carobou cup team playing champions league football', 'Never ever fail to laugh out loud with these', 'specs guy makes jokes like Michael Blackson', '2:31 😂', 'Specs is SUS these days kmt', 'Can we pull up Tego saying you can see Shoreditch from the den?? Wild geography 😂', 'If you lot would’ve got Impact on this lineup it would’ve been like one of those Wenger Arsenal lineups in 2011 w Frimpong, Chamakh, Jenkison and still pull off a win and clean sheet', 'end the spongebob hate now']"
6,RfLEVEEq8JA,"['31:50', 'Henderson over Gerrard actually stinks so bad', 'Miles wearing the TINOS top 👏', 'Umit davala for turkey in 2002 World Cup was the first Mohawk I saw on a player.', 'The guy on the right on Micah’s table. He’s a textbook narcissist, only talks about himself. Very dislikable, you can tell he thinks he’s a that guy, even tho he’s stale.', 'Micah is ELITE.  Period.', 'Is this show meant for a black audience?', ""Let's get 10 guys who have no idea about ball and put them in a room with football players 🤣 entertaining ethier way"", ""I've never heard Tego have a good take"", '8 mins in. Shout out to the guy in orange hoodie. Glen Hoddle does not get the respect he deserves. Never seen him play, watched him managed in the early 00s. But as a pundit he knows what he is saying']"
7,iRIMsm4TPCk,"['PK is a fool 😂😂😂😂 oh noooooo', 'Snow piercer is cold', 'Na ADH19 caught me off guard man 😂😂😂😂😂', 'All Congo elders drink K 😅', 'I love how Specs calls his son a lorry driver 🤣🤣🤣 that will never die', 'I has to RAAAS it in the top bins', 'specs and PK is cash money', 'The number of adverts is BRAAAZZZY. I’ve had 8 ad breaks so far. I’m halfway through.', ""Why are you lot mocking Christ and Lent when you know you have Christians watching? I didn't see you mocking Muslim dates like Eid or Jewish dates🙃😤😤☦☦☦ Repent in the name of God. You will have to answer for this mockery on judgement day"", 'man said tego gave me the double hand gawk gawk....im saying calm down bro LOOOOOOOL']"
8,zbPpRgcaXgc,"['eddie howe 7....... u lot no nothing', '“Copied DeZerbi” 😂😂 Fs man I’m crying 😂', 'Wish these would stop letting Tego control everything.\n\n\nHe should lose any say when he thinks Eddie Howe isn\'t top 10.    Took a relegation bound Newcastle (only team to ever stay up on that few points at that stage of the season) to a potential top 4.      \n\nHe has literally done in one season what it\'s took arteta to do in 3.   \n\n\nThey also haven\'t spent ""All that money"" they bought 4 new defenders and a GK for like 80 million a midfielder for 35. Then this season ISAK and Gordon for 90/100.    \n\n\n Man U spent more than that in the summer alone, teams like Everton Villa, Leeds, Westham have spent more than that last couple of seasons....\n\n\nOnly manager to do a better turn around for a club in last 10/15 years in Ranieri.', ""Probably Mile's best episode. Measured, non aggressive, firm but to a point. Still had some stinkers but recovered nicely."", '@lippy your acting was aggressive in crop circles 2 :(', 'how can you put Klopp 2nd in my opinion hes the best. Gets minimum funds and builds a winning team. give guardiola same funds as klopp u get two different results. remember liverpools trent and robbo deals were under 10m now they the best full backs in the league', 'That Lippy opinion on Klopp will come back to bite him', 'Man represent the full panal at 13 min 😂love it', ""Not gonna lie that hendo is better leader etc is the fffd 😅😅😅😅 you need to get rid of that guy he's Offkey yo"", 'Roy 100% deserves top 10, deserves that respect']"
9,rU7HtvX1Lzc,"['That intro shows tego ego and why people cant stand him, talks too much let the mandem talk thats why we here. Wiles right once again when will these man realise.  And it is forever #KroenkeOut', 'That Miles a wet yute', 'Tego has 0 personality sub him already ffs  “ it’s my ball “type of energy', 'Nice', 'Get Aaron ramsdale on here good shout', 'support the people get to liking', 'Short answer YES', 'Mad tight sitting next to eachother thighs touching and that haha banter though', ""The fact that a couple man thought that Arsenal would win shows certain man don't know footy...was never going to happen...Stevo did get the scoreline correct though lol"", '😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂']"
