,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
0,SyfKpDydAxU,FILTHYFELLAS,MICHAIL ANTONIO ON FILTHYFELLAS!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

LISTEN TO MICHAIL ANTONIO AND CALLUM WILSON'S THE FOOTBALLER'S FOOTBALL PODCAST - https://spoti.fi/3IJO8hU

One of our greatest guest focused episodes of all time, MICHAIL ANTONIO sits down to talk about his career, his opponents, his political beliefs, his Lambo and more. MARGS, LIPPY, SPECS GONZALEZ, JORDY, MILES, PK HUMBLE and TEGO SIGEL get in depth ahead of WEST HAM's European final!!!

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['MICHAIL ANTONIO', 'FILTHY FELLAS', 'FILTHYFELLAS', 'SPECS GONZALEZ', 'PK HUMBLE', 'LIPPY', 'MILES', 'MILES FEARON', 'MARGS', 'TEGO SIGEL', 'FILTHY @ FIVE', 'FILTHY@FIVE', 'PODCAST', 'INTERVIEW', 'JORDY', 'WEST HAM UNITED']",2023-05-31T16:00:03Z,77660,3772,,283,PT1H13M7S,hd,false
1,IBzzIV96P1o,FILTHYFELLAS,THIS IS A NEW ERA FOR ME!!! | NO RULES SHOW WITH SPECS GONZALEZ,"Following on from what many are calling the greatest episode of NO RULES SHOW of all-time (the DAZZA and JAMAICA special), SPECS GONZALEZ called JORDY and TEGO SIGEL together again and ripped up the format to talk about getting a trim by sun-light, growing tomatoes and selling them to Tesco, the ingredients in jelly and another iconic taste test of food from around the world. Welcome to a NEW ERA of NO RULES.

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['SPECS GONZALEZ', 'JORDY', 'TEGO SIGEL', 'NO RULES SHOW', ""THERE'S NO RULES"", 'NO RULES', 'PODCAST', 'JELLY', 'Comedy', 'FILTHYFELLAS', 'FILTHY @ FIVE', 'SPECS', 'SPECZ', 'FILTHY FELLAS']",2023-05-26T16:00:03Z,69403,1657,,150,PT1H23M12S,hd,false
2,JeyEJ_f6cUI,FILTHYFELLAS,ALEX IWOBI ON FILTHYFELLAS!!! | FILTHY @ FIVE,"GET AIR UP WITH FILTHY - https://airup.link/filthyfellas

THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

One of the most epic moments in the history of FILTHY @ FIVE, we have called in a current Premier League and international star to join the panel and talk about his career and buss jokes with the guys. ALEX IWOBI of EVERTON and NIGERIA sits down with LIPPY, PK HUMBLE, SPECS GONZALEZ, SAVAGE DAN, STEVO THE MADMAN, JORDY and TEGO SIGEL for an all-time classic episode.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['Alex Iwobi', 'Everton', 'England', 'Nigeria', 'Filthy FEllas', 'Filthy @ Five', 'Arsene Wenger', 'FilthyFellas', 'Poet', 'Specs Gonzalez', 'PK Humble', 'Stevo The Madman', 'Tego Sigel', 'Jordy', 'Savage Dan', 'Lippy', 'Specz', 'Podcast', 'Interview', 'Arsenal']",2023-05-24T16:00:03Z,210071,5600,,430,PT1H26M50S,hd,false
3,WpyNeI0mgZc,FILTHYFELLAS,TOP 10 UNDER 23 PLAYERS IN THE PREMIER LEAGUE 2022/23!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

With the title race sizzling to a predictable formality, the FILTHY FELLAS came together to count down the 10 BEST UNDER 23 PLAYERS IN THE PREMIER LEAGUE and decide who is the best of the best in the young player category. SPECS GONZALEZ, MILES, POET, JORDY, LUMOS and TEGO debate ERLING HAALAND, BUKAYO SAKA, REECE JAMES and the rest...

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'BUKAYO SAKA', 'ERLING HAALAND', 'SPECS GONZALEZ', 'POET', 'JORDY', 'TEGO SIGEL', 'LUMOS', 'MILES', 'MILES FEARON', 'DEBATE', 'PODCAST', 'BANTER', 'COMEDY', 'FOOTBALL', 'PREMIER LEAGUE', 'UNDER 23S', 'YOUNG PLAYERS', 'TOP 10']",2023-05-17T16:00:02Z,139440,2788,,435,PT1H10M21S,hd,false
4,B4QpKFdXWEI,FILTHYFELLAS,THE JAMAICAN HOLIDAY SPECIAL WITH DAZZA AND JORDY!!!! | NO RULES SHOW WITH & SPECS GONZALEZ,"SPECS GONZALEZ is back from Jamaica and he's brought DAZZA through to talk about their time in the Caribbean, how Big Daz jumped on the plan late in the day, how he stole a room, how he got lost on a canoe and how he p***ed Specs off with a KFC. One of the all-time classic episodes definitely needed a JORDY cameo, so enjoy one of the greatest NO RULES epics of all time.

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['SPECS GONZALEZ', 'JAMAICA', 'BIG DAZ', 'DAZZA', 'JORDY', 'TEGO SIGEL', 'HOLIDAY', 'NO RULES', 'NO RULES SHOW', 'PODCAST', 'FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'BOB MARLEY']",2023-05-12T15:00:03Z,124976,3029,,268,PT1H33M48S,hd,false
5,eCMe0urGT-g,FILTHYFELLAS,IF JUDE BELLINGHAM GOES TO REAL MADRID DO WE FOLLOW??? | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

Following on from our biggest ever episode with the great Micah Richards, we struggled to pull a first team together for domestic duties but still managed to pull a classic episode out of the bag. SPECS GONZALEZ, JORDY and TEGO are welcomed by BIG DAZ aka YED aka DAZZA and LUMOS aka BUSY SIGNAL aka CRYPTO ALBATROSS to talk about the Jude Bellingham to Real Madrid rumours, Manchester City's Champions League chances, the relegation dog fight, Jamaica, Jordan Henderson and more...

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'DAZZA', 'JUDE BELLINGHAM', 'SPECS GONZALEZ', 'JORDY', 'LUMOS', 'PODCAST', 'FOOTBALL', 'PREMIER LEAGUE', 'REAL MADRID', 'COMEDY', 'TEGO SIGEL']",2023-05-10T16:00:05Z,121870,2595,,339,PT1H1M13S,hd,false
6,RfLEVEEq8JA,FILTHYFELLAS,MICAH RICHARDS ON FILTHYFELLAS!!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

One of our most requested episodes ever!!! Big Meeks aka MICAH RICHARDS sits down with the FILTHYFELLAS to talk about punditry, Manchester City, being a wonderkid, playing in Italy, beefing Fabio Capello, the state of his feet and a whole lot more. We present to you - a classic! Micah joins STEVO THE MADMAN, POET, MILES, LIPPY, POET, JORDY, MARGS, SPECS GONZALEZ and TEGO SIGEL for an all-timer.
Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate.","['FILTHYFELLAS', 'FILTHY @ FIVE', 'FILTHY FELLAS', 'MICAH RICHARDS', 'INTERVIEW', 'PODCAST', 'FILTHY FELLAS PODCAST', 'FILTHYFELLAS PODCAST', 'SPECS GONZALEZ', 'STEVO THE MADMAN', 'MILES', 'JORDY', 'POET', 'TEGO SIGEL', 'MARGS', 'LIPPY', 'MANCHESTER CITY']",2023-05-03T16:00:03Z,484536,8335,,732,PT1H47M31S,hd,false
7,iRIMsm4TPCk,FILTHYFELLAS,"""I'VE SCREENSHOT WHAT YOU'RE WORKING WITH!!!"" PK HUMBLE RETURNS TO NO RULES SHOW WITH SPECS GONZALEZ","SPECS is in Jamaica with DAZZA and his family, so while we await their return and some innevitable legendary NO RULES SHOW stories the boys called in another NO RULES SHOW Legend PK HUMBLE to talk about why Jesus was a member of D Generation X, why Specs screenshot PK's package, having a guestlist stinker in Croydon and a whole lot more...

Listen to the No Rules Show on Apple Podcast - https://apple.co/2psK1AW​​​
Listen to the No Rules Show on Spotify - https://spoti.fi/31oUnis​​​

If you haven't subscribed to #FilthyFellas​ yet it's because you're a tramp. Subscribe and rate.","['NO RULES SHOW', 'PK HUMBLE', 'SPECS GONZALEZ', 'TEGO SIGEL', 'FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'PODCAST', 'COMEDY', 'FUNNY']",2023-04-28T16:00:02Z,108560,1711,,93,PT1H24M3S,hd,false
8,zbPpRgcaXgc,FILTHYFELLAS,TOP 10 MANAGERS IN THE PREMIER LEAGUE 2022/23!!! | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

There are a thousand different ways you can consider, approach and debate topics as subjective as football and every single one of them is on the table when we put together a Top 10 list on FILTHY @ FIVE. For some reason though, when push comes to shove, we choose the low road every time! Debating the TOP 10 MANAGERS IN THE PREMIER LEAGUE, we've got STEVO THE MADMAN, MILES, JORDY, MARGS, LIPPY, POET and TEGO.

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate","['Filthy Fellas', 'FilthyFellas', 'Filthy @ Five', 'Erik Ten Hag', 'Mikel Arteta', 'Pep Guardiola', 'Top 10 Managers', 'Jurgen Klopp', 'Podcast', 'Stevo The Madman', 'Lippy', 'Margs', 'Miles', 'Jordy', 'Poet', 'Argument', 'Debate', 'Football', 'Premier League', 'Top 10 Managers In The Premier League']",2023-04-26T16:00:11Z,136209,2513,,523,PT1H38M,hd,false
9,rU7HtvX1Lzc,FILTHYFELLAS,HONESTLY... HAVE ARSENAL BOTTLED THE TITLE??? | FILTHY @ FIVE,"THE FILTHY AWAY SHIRT IS AVAILABLE NOW AT - HTTP://WWW.FILTHYATFIVE.COM

Welcoming a special guest from the Filthy Family Tree, THE CLUB and STRETFORD PADDOCK's ADAM MCKOLA joins FILTHY @ FIVE to break down what has been a bit of a breakdown in North London. With STEVO THE MADMAN, POET, LIPPY, MILES, JORDY, MARGS and TEGO, Filthy slowed down the schedule to consider whether ARSENAL have actually bottled their title charge, how they allowed two two-goal leads to slip in a week, what MANCHESTER UNITED have to do with this and whether Miles and Lippy have the answers...

Gang.

Listen to Filthy @ Five on Apple Podcast - https://apple.co/3lG1gHL
Listen to Filthy @ Five on Spotify - https://spoti.fi/3jIsgo0
Listen to Filthy @ Five on Amazon - https://amzn.to/3nbGIvX

If you haven't subscribed to #FilthyFellas yet it's because you're a tramp. Subscribe and rate","['FILTHYFELLAS', 'FILTHY FELLAS', 'FILTHY @ FIVE', 'ADAM MCKOLA', 'THE CLUB', 'MILES', 'JORDY', 'LIPPY', 'POET', 'STEVO THE MADMAN', 'TEGO SIGEL', 'MARGS', 'ARSENAL', 'BOTTLE', 'ARSENAL BOTTLED IT', 'MANCHESTER UNITED', 'MANCHESTER CITY', 'WEST HAM 2-2 ARSENAL', 'LIVERPOOL 2-2 ARSENAL', 'BUKAYO SAKA']",2023-04-19T16:00:23Z,173168,4079,,497,PT1H2M,hd,false
